application_id,patent_id,filing_date,assignee_id,comn,assignee_type,f_year,temp
14643719,10000000,2015-03-10,aeef7c1f-e757-467f-8e07-289dc8c6ed95,Raytheon Company,2,2015,1
14643719,10000000,2015-03-10,aeef7c1f-e757-467f-8e07-289dc8c6ed95,Raytheon Company,2,2015,2
14643719,10000000,2015-03-10,aeef7c1f-e757-467f-8e07-289dc8c6ed95,Raytheon Company,2,2015,3
14643719,10000000,2015-03-10,aeef7c1f-e757-467f-8e07-289dc8c6ed95,Raytheon Company,2,2015,4
14643719,10000000,2015-03-10,aeef7c1f-e757-467f-8e07-289dc8c6ed95,Raytheon Company,2,2015,5
14962323,10000001,2015-12-08,c3c60c29-a35e-4ab4-b0dc-ba4b8aa6be6c,LS MTRON LTD.,3,2015,6
14962323,10000001,2015-12-08,c3c60c29-a35e-4ab4-b0dc-ba4b8aa6be6c,LS MTRON LTD.,3,2015,7
14962323,10000001,2015-12-08,c3c60c29-a35e-4ab4-b0dc-ba4b8aa6be6c,LS MTRON LTD.,3,2015,8
14962323,10000001,2015-12-08,c3c60c29-a35e-4ab4-b0dc-ba4b8aa6be6c,LS MTRON LTD.,3,2015,9
14962323,10000001,2015-12-08,c3c60c29-a35e-4ab4-b0dc-ba4b8aa6be6c,LS MTRON LTD.,3,2015,10
14962323,10000001,2015-12-08,c3c60c29-a35e-4ab4-b0dc-ba4b8aa6be6c,LS MTRON LTD.,3,2015,11
14962323,10000001,2015-12-08,c3c60c29-a35e-4ab4-b0dc-ba4b8aa6be6c,LS MTRON LTD.,3,2015,12
14962323,10000001,2015-12-08,c3c60c29-a35e-4ab4-b0dc-ba4b8aa6be6c,LS MTRON LTD.,3,2015,13
14962323,10000001,2015-12-08,c3c60c29-a35e-4ab4-b0dc-ba4b8aa6be6c,LS MTRON LTD.,3,2015,14
14962323,10000001,2015-12-08,c3c60c29-a35e-4ab4-b0dc-ba4b8aa6be6c,LS MTRON LTD.,3,2015,15
14962323,10000001,2015-12-08,c3c60c29-a35e-4ab4-b0dc-ba4b8aa6be6c,LS MTRON LTD.,3,2015,16
